geometry_id,density,seed,mask_variant,method,status,output_path,error,parameters,common_f1,common_precision,common_recall,fragment_recovery_rate,pixel_recovery_rate,representation_dependent_pixel_recovery_rate
cov20/synth_0020,20,20262821,1,baseline_cc,ok,output\locked_evaluation\outputs\cov20\synth_0020\1\baseline_cc__19eabb03d824.tif,,"{""min_area"": 1}",0.09466111321469141,0.050362610797743755,0.7861635220125787,0.11538461538461539,0.0,0.0
cov20/synth_0020,20,20262821,1,baseline_skeleton,ok,output\locked_evaluation\outputs\cov20\synth_0020\1\baseline_skeleton__285b5bcfa0e4.tif,,"{""max_gap_px"": 28.0, ""max_turn_deg"": 20.0}",0.8083832335329343,0.7714285714285715,0.8490566037735849,0.7307692307692307,0.0,0.0
cov20/synth_0020,20,20262821,1,filaseg,ok,C:\Repos\filaments_quantification\output\locked_evaluation\filaseg\cov20\synth_0020\1\filaseg\final\mask_w1_reconnect_multilabel.npz,,"{""filaseg_mode"": ""run""}",0.9153605015673982,0.9125,0.9182389937106918,0.8846153846153846,0.4230769230769231,0.4230769230769231
cov20/synth_0021,20,20262822,1,baseline_cc,ok,output\locked_evaluation\outputs\cov20\synth_0021\1\baseline_cc__19eabb03d824.tif,,"{""min_area"": 1}",0.11795681937862033,0.06378132118451026,0.7832167832167832,0.1111111111111111,0.0,0.0
cov20/synth_0021,20,20262822,1,baseline_skeleton,ok,output\locked_evaluation\outputs\cov20\synth_0021\1\baseline_skeleton__285b5bcfa0e4.tif,,"{""max_gap_px"": 28.0, ""max_turn_deg"": 20.0}",0.7364864864864864,0.7124183006535948,0.7622377622377622,0.5555555555555556,0.0,0.0
cov20/synth_0021,20,20262822,1,filaseg,ok,C:\Repos\filaments_quantification\output\locked_evaluation\filaseg\cov20\synth_0021\1\filaseg\final\mask_w1_reconnect_multilabel.npz,,"{""filaseg_mode"": ""run""}",0.7949526813880126,0.7241379310344828,0.8811188811188811,0.6666666666666666,0.10714285714285714,0.10714285714285714
cov20/synth_0022,20,20262823,1,baseline_cc,ok,output\locked_evaluation\outputs\cov20\synth_0022\1\baseline_cc__19eabb03d824.tif,,"{""min_area"": 1}",0.2289156626506024,0.20652173913043478,0.25675675675675674,0.07142857142857142,0.0,0.0
cov20/synth_0022,20,20262823,1,baseline_skeleton,ok,output\locked_evaluation\outputs\cov20\synth_0022\1\baseline_skeleton__285b5bcfa0e4.tif,,"{""max_gap_px"": 28.0, ""max_turn_deg"": 20.0}",0.9078014184397162,0.9552238805970149,0.8648648648648649,0.7142857142857143,0.0,0.0
cov20/synth_0022,20,20262823,1,filaseg,ok,C:\Repos\filaments_quantification\output\locked_evaluation\filaseg\cov20\synth_0022\1\filaseg\final\mask_w1_reconnect_multilabel.npz,,"{""filaseg_mode"": ""run""}",0.7466666666666667,0.7368421052631579,0.7567567567567568,0.42857142857142855,0.42857142857142855,0.42857142857142855
cov20/synth_0023,20,20262824,1,baseline_cc,ok,output\locked_evaluation\outputs\cov20\synth_0023\1\baseline_cc__19eabb03d824.tif,,"{""min_area"": 1}",0.10853266690467689,0.0578386605783866,0.8786127167630058,0.17391304347826086,0.0,0.0
cov20/synth_0023,20,20262824,1,baseline_skeleton,ok,output\locked_evaluation\outputs\cov20\synth_0023\1\baseline_skeleton__285b5bcfa0e4.tif,,"{""max_gap_px"": 28.0, ""max_turn_deg"": 20.0}",0.7142857142857142,0.7718120805369127,0.6647398843930635,0.6956521739130435,0.0,0.0
cov20/synth_0023,20,20262824,1,filaseg,ok,C:\Repos\filaments_quantification\output\locked_evaluation\filaseg\cov20\synth_0023\1\filaseg\final\mask_w1_reconnect_multilabel.npz,,"{""filaseg_mode"": ""run""}",0.7476635514018691,0.8108108108108109,0.6936416184971098,0.6956521739130435,0.4782608695652174,0.4782608695652174
cov20/synth_0024,20,20262825,1,baseline_cc,ok,output\locked_evaluation\outputs\cov20\synth_0024\1\baseline_cc__19eabb03d824.tif,,"{""min_area"": 1}",0.16859852476290832,0.0954653937947494,0.7207207207207207,0.20833333333333334,0.0,0.0
cov20/synth_0024,20,20262825,1,baseline_skeleton,ok,output\locked_evaluation\outputs\cov20\synth_0024\1\baseline_skeleton__285b5bcfa0e4.tif,,"{""max_gap_px"": 28.0, ""max_turn_deg"": 20.0}",0.8947368421052632,0.8717948717948718,0.918918918918919,0.75,0.0,0.0
cov20/synth_0024,20,20262825,1,filaseg,ok,C:\Repos\filaments_quantification\output\locked_evaluation\filaseg\cov20\synth_0024\1\filaseg\final\mask_w1_reconnect_multilabel.npz,,"{""filaseg_mode"": ""run""}",0.8691983122362867,0.8174603174603174,0.9279279279279279,0.7083333333333334,0.6,0.6
cov30/synth_0000,30,20263801,1,baseline_cc,ok,output\locked_evaluation\outputs\cov30\synth_0000\1\baseline_cc__19eabb03d824.tif,,"{""min_area"": 1}",0.16117216117216115,0.0917303683113273,0.6633165829145728,0.14285714285714285,0.0,0.0
cov30/synth_0000,30,20263801,1,baseline_skeleton,ok,output\locked_evaluation\outputs\cov30\synth_0000\1\baseline_skeleton__285b5bcfa0e4.tif,,"{""max_gap_px"": 28.0, ""max_turn_deg"": 20.0}",0.824468085106383,0.8757062146892656,0.7788944723618091,0.6571428571428571,0.0,0.0
cov30/synth_0000,30,20263801,1,filaseg,ok,C:\Repos\filaments_quantification\output\locked_evaluation\filaseg\cov30\synth_0000\1\filaseg\final\mask_w1_reconnect_multilabel.npz,,"{""filaseg_mode"": ""run""}",0.6740576496674058,0.6031746031746031,0.7638190954773869,0.4857142857142857,0.35135135135135137,0.35135135135135137
cov30/synth_0001,30,20263802,1,baseline_cc,ok,output\locked_evaluation\outputs\cov30\synth_0001\1\baseline_cc__19eabb03d824.tif,,"{""min_area"": 1}",0.0736805635754706,0.03861050593076737,0.8035264483627204,0.11428571428571428,0.0,0.0
cov30/synth_0001,30,20263802,1,baseline_skeleton,ok,output\locked_evaluation\outputs\cov30\synth_0001\1\baseline_skeleton__285b5bcfa0e4.tif,,"{""max_gap_px"": 28.0, ""max_turn_deg"": 20.0}",0.8355795148247978,0.8985507246376812,0.7808564231738035,0.7428571428571429,0.0,0.0
cov30/synth_0001,30,20263802,1,filaseg,ok,C:\Repos\filaments_quantification\output\locked_evaluation\filaseg\cov30\synth_0001\1\filaseg\final\mask_w1_reconnect_multilabel.npz,,"{""filaseg_mode"": ""run""}",0.7974358974358975,0.8120104438642297,0.783375314861461,0.8,0.45714285714285713,0.45714285714285713
cov30/synth_0002,30,20263803,1,baseline_cc,ok,output\locked_evaluation\outputs\cov30\synth_0002\1\baseline_cc__19eabb03d824.tif,,"{""min_area"": 1}",0.08436860068259386,0.04449244060475162,0.8131578947368421,0.06451612903225806,0.0,0.0
cov30/synth_0002,30,20263803,1,baseline_skeleton,ok,output\locked_evaluation\outputs\cov30\synth_0002\1\baseline_skeleton__285b5bcfa0e4.tif,,"{""max_gap_px"": 28.0, ""max_turn_deg"": 20.0}",0.6479250334672021,0.659400544959128,0.6368421052631579,0.5483870967741935,0.0,0.0
cov30/synth_0002,30,20263803,1,filaseg,ok,C:\Repos\filaments_quantification\output\locked_evaluation\filaseg\cov30\synth_0002\1\filaseg\final\mask_w1_reconnect_multilabel.npz,,"{""filaseg_mode"": ""run""}",0.6510538641686183,0.5864978902953587,0.7315789473684211,0.5161290322580645,0.3548387096774194,0.3548387096774194
cov30/synth_0003,30,20263804,1,baseline_cc,ok,output\locked_evaluation\outputs\cov30\synth_0003\1\baseline_cc__19eabb03d824.tif,,"{""min_area"": 1}",0.05437769925402434,0.02806484295845998,0.8710691823899371,0.05128205128205128,0.0,0.0
cov30/synth_0003,30,20263804,1,baseline_skeleton,ok,output\locked_evaluation\outputs\cov30\synth_0003\1\baseline_skeleton__285b5bcfa0e4.tif,,"{""max_gap_px"": 28.0, ""max_turn_deg"": 20.0}",0.7445482866043615,0.7376543209876543,0.7515723270440252,0.4358974358974359,0.0,0.0
cov30/synth_0003,30,20263804,1,filaseg,ok,C:\Repos\filaments_quantification\output\locked_evaluation\filaseg\cov30\synth_0003\1\filaseg\final\mask_w1_reconnect_multilabel.npz,,"{""filaseg_mode"": ""run""}",0.8199121522693997,0.7671232876712328,0.8805031446540881,0.5641025641025641,0.5897435897435898,0.5897435897435898
cov30/synth_0004,30,20263805,1,baseline_cc,ok,output\locked_evaluation\outputs\cov30\synth_0004\1\baseline_cc__19eabb03d824.tif,,"{""min_area"": 1}",0.061860940695296525,0.032086979581012996,0.8581560283687943,0.0975609756097561,0.0,0.0
cov30/synth_0004,30,20263805,1,baseline_skeleton,ok,output\locked_evaluation\outputs\cov30\synth_0004\1\baseline_skeleton__285b5bcfa0e4.tif,,"{""max_gap_px"": 28.0, ""max_turn_deg"": 20.0}",0.8904593639575973,0.8873239436619719,0.8936170212765957,0.7317073170731707,0.0,0.0
cov30/synth_0004,30,20263805,1,filaseg,ok,C:\Repos\filaments_quantification\output\locked_evaluation\filaseg\cov30\synth_0004\1\filaseg\final\mask_w1_reconnect_multilabel.npz,,"{""filaseg_mode"": ""run""}",0.9149659863945578,0.8790849673202614,0.9539007092198581,0.6829268292682927,0.5609756097560976,0.5609756097560976
cov30/synth_0005,30,20263806,1,baseline_cc,ok,output\locked_evaluation\outputs\cov30\synth_0005\1\baseline_cc__19eabb03d824.tif,,"{""min_area"": 1}",0.13597033374536466,0.07422402159244265,0.8088235294117647,0.13157894736842105,0.0,0.0
cov30/synth_0005,30,20263806,1,baseline_skeleton,ok,output\locked_evaluation\outputs\cov30\synth_0005\1\baseline_skeleton__285b5bcfa0e4.tif,,"{""max_gap_px"": 28.0, ""max_turn_deg"": 20.0}",0.7147335423197492,0.7651006711409396,0.6705882352941176,0.5789473684210527,0.0,0.0
