"set","mask_variant","cov","density","scene","status","error","f1","precision","recall","fragment_recovery_recovery_rate","adjusted_rand_index","vi_split_bits","vi_merge_bits","vi_total_bits","n_common_fragments","n_gt_groups","n_pred_groups"
"testcmp10","degraded","cov60","60","synth_0008","ok","","0.7667487011211375","0.8020594965675057","0.7344159245678366","0.5903614457831325","0.7632717174865006","0.4841942673781672","0.39890314478999533","0.8830974121681625","499","83","87"
"testcmp10","degraded","cov60","60","synth_0009","ok","","0.6817713697219361","0.684449958643507","0.6791136643414034","0.5647058823529412","0.6770538425784577","0.5979992981083593","0.594320988736912","1.1923202868452711","577","85","88"
"testcmp10","clean","cov20","20","synth_0000","ok","","0.8579881656804734","0.9119496855345912","0.8100558659217877","0.85","0.8497769326409712","0.21000114513649287","0.12531815860620413","0.33531930374269703","79","20","21"
"testcmp10","clean","cov20","20","synth_0001","ok","","1.0","1.0","1.0","1.0","1.0","0.0","0.0","0.0","78","23","23"
"testcmp10","clean","cov20","20","synth_0002","ok","","0.9591836734693877","0.9791666666666666","0.94","0.9047619047619048","0.9573496096309749","0.09359599965588648","0.04051305150240396","0.13410905115829044","68","21","22"
"testcmp10","clean","cov20","20","synth_0003","ok","","0.8309455587392551","0.8333333333333334","0.8285714285714286","0.75","0.8207959825270685","0.2572838982188928","0.26369196691100133","0.5209758651298941","79","20","20"
"testcmp10","clean","cov20","20","synth_0004","ok","","1.0","1.0","1.0","1.0","1.0","0.0","0.0","0.0","45","20","20"
"testcmp10","clean","cov20","20","synth_0005","ok","","0.9273743016759776","0.9378531073446328","0.9171270718232044","0.9375","0.9246498589599924","0.11900134529890126","0.10390359525563189","0.22290494055453314","100","32","32"
"testcmp10","clean","cov20","20","synth_0006","ok","","0.9739776951672863","0.9632352941176471","0.9849624060150376","0.9444444444444444","0.9723952677601875","0.039925905828456065","0.05652368883898732","0.09644959466744338","69","18","18"
"testcmp10","clean","cov20","20","synth_0007","ok","","0.8982035928143712","0.9375","0.8620689655172413","0.8846153846153846","0.89421558777092","0.16052070898751444","0.08955223880597014","0.2500729477934846","67","26","27"
"testcmp10","clean","cov20","20","synth_0008","ok","","0.9732620320855615","0.9680851063829787","0.978494623655914","0.9090909090909091","0.9720434480008133","0.04174071972974952","0.049168371179341384","0.09090909090909091","66","22","22"
"testcmp10","clean","cov20","20","synth_0009","ok","","0.9696969696969697","0.975609756097561","0.963855421686747","1.0","0.9683320207281318","0.04706488011450333","0.04101864175496377","0.0880835218694671","88","24","24"
"testcmp10","clean","cov30","30","synth_0000","ok","","0.8842105263157896","0.8704663212435233","0.8983957219251337","0.8666666666666667","0.8797744018496246","0.1507604579482409","0.1671387566793572","0.31789921462759807","144","30","30"
"testcmp10","clean","cov30","30","synth_0001","ok","","0.8813953488372093","0.8773148148148148","0.8855140186915887","0.8695652173913043","0.8783212760159379","0.1842213189041847","0.19931657769429403","0.3835378965984787","185","46","45"
